__v,_id,createdAt,dietMeal_id,updatedAt,user_id
0,62a6aaef6a4a5589652684ee,2022-06-13T03:11:43.061Z,62a34484518c2e20001b23bb,2022-06-13T03:11:43.061Z,6285d92f3259c67fd10eb20b
0,62a76a697498925434dd821b,2022-06-13T16:48:41.576Z,62a3449e518c2e20001b23c2,2022-06-13T16:48:41.576Z,6285d92f3259c67fd10eb20b
0,62a774917d0d250c40564417,2022-06-13T17:32:01.531Z,62a5ccc01ec0f04e9c2bf7ea,2022-06-13T17:32:01.531Z,6285d92f3259c67fd10eb20b
0,62ac3fac98b372bf1cc60296,2022-06-17T08:47:40.546Z,62a3449e518c2e20001b23c2,2022-06-17T08:47:40.546Z,629ebadbe62d52aac61d956b
0,62aefd8c13fedcdb1f587675,2022-06-19T10:42:20.276Z,62a34420518c2e20001b239b,2022-06-19T10:42:20.276Z,6285d92f3259c67fd10eb20b
0,62aefe8913fedcdb1f5876ce,2022-06-19T10:46:33.871Z,62a34484518c2e20001b23bb,2022-06-19T10:46:33.871Z,62aa884610eb951497d7d99f
0,62c7dab100c75b04ce781104,2022-07-08T07:20:17.418Z,62a34484518c2e20001b23bb,2022-07-08T07:20:17.418Z,62aa884610eb951497d7d99f
0,62c7dadb00c75b04ce78113f,2022-07-08T07:20:59.068Z,62a34484518c2e20001b23bb,2022-07-08T07:20:59.068Z,6285d92f3259c67fd10eb20b
0,62c7db4a00c75b04ce7811a3,2022-07-08T07:22:50.661Z,62a34484518c2e20001b23bb,2022-07-08T07:22:50.661Z,629ebadbe62d52aac61d956b
0,62c7db4e00c75b04ce7811b4,2022-07-08T07:22:54.819Z,62a5ccc01ec0f04e9c2bf7ea,2022-07-08T07:22:54.819Z,629ebadbe62d52aac61d956b